2325	7 (A W E U N B S) 
Adromischus_alstonii	1000000
Adromischus_bicolor	1000000
Adromischus_caryophyllaceus	1000000
Adromischus_cooperi	1000000
Adromischus_cristatus	1000000
Adromischus_diabolicus	1000000
Adromischus_fallax	1000000
Adromischus_filicaulis	1000000
Adromischus_hemisphaericus	1000000
Adromischus_humilis	1000000
Adromischus_inamoenus	1000000
Adromischus_leucophyllus	1000000
Adromischus_liebenbergii	1000000
Adromischus_maculatus	1000000
Adromischus_mammillaris	1000000
Adromischus_marianiae	1000000
Adromischus_maximus	1000000
Adromischus_montium-klinghardtii	1000000
Adromischus_nanus	1000000
Adromischus_phillipsiae	1000000
Adromischus_roaneanus	1000000
Adromischus_schuldtianus	1000000
Adromischus_sphenophyllus	1000000
Adromischus_subdistichus	1000000
Adromischus_subviridis	1000000
Adromischus_triflorus	1000000
Adromischus_trigynus	1000000
Adromischus_umbraticola	1000000
Aeonium_aizoon	1000000
Aeonium_appendiculatum	1000000
Aeonium_arboreum	1000000
Aeonium_aureum	1000000
Aeonium_balsamiferum	1000000
Aeonium_caespitosum	1000000
Aeonium_canariense	1000000
Aeonium_castello-paivae	1000000
Aeonium_ciliatum	1000000
Aeonium_cuneatum	1000000
Aeonium_davidbramwellii	1000000
Aeonium_decorum	1000000
Aeonium_diplocyclum	1000000
Aeonium_dodrantale	1000000
Aeonium_glandulosum	1000000
Aeonium_glutinosum	1000000
Aeonium_gomerense	1000000
Aeonium_goochiae	1000000
Aeonium_haworthii	1000000
Aeonium_hierrense	1000000
Aeonium_korneliuslemsii	1000000
Aeonium_lancerottense	1000000
Aeonium_leucoblepharum	1100000
Aeonium_lindleyi	1000000
Aeonium_nobile	1000000
Aeonium_percarneum	1000000
Aeonium_pseudourbicum	1000000
Aeonium_rubrolineatum	1000000
Aeonium_saundersii	1000000
Aeonium_sedifolium	1000000
Aeonium_simsii	1000000
Aeonium_smithii	1000000
Aeonium_spathulatum	1000000
Aeonium_subplanum	1000000
Aeonium_tabuliforme	1000000
Aeonium_undulatum	1000000
Aeonium_urbicum	1000000
Aeonium_valverdense	1000000
Afrovivella_semiensis	1000000
Aichryson_bethencourtianum	1000000
Aichryson_bituminosum	1000000
Aichryson_bollei	1000000
Aichryson_brevipetalum	1000000
Aichryson_divaricatum	1000000
Aichryson_dumosum	1000000
Aichryson_gonzalezhernandezii	1000000
Aichryson_laxum	1000000
Aichryson_pachycaulon	1000000
Aichryson_palmense	1000000
Aichryson_parlatorei	1000000
Aichryson_porphyrogennetos	1000000
Aichryson_punctatum	1000000
Aichryson_tortuosum	1000000
Aichryson_villosum	1000000
Altingia_chinensis	0010000
Altingia_excelsa	0010000
Altingia_gracilipes	0010000
Altingia_obovata	0010000
Altingia_poilanei	0010000
Altingia_siamensis	0010000
Altingia_yunnanensis	0010000
Aphanopetalum_clematideum	0001000
Aphanopetalum_resinosum	0001000
Astilbe_biternata	0000100
Astilbe_chinensis	0010000
Astilbe_formosa	0010000
Astilbe_fujisanensis	0010000
Astilbe_grandis	0010000
Astilbe_hachijoensis	0010000
Astilbe_japonica	0010000
Astilbe_longicarpa	0010000
Astilbe_macrocarpa	0010000
Astilbe_macroflora	0010000
Astilbe_microphylla	0010000
Astilbe_odontophylla	0010000
Astilbe_papuana	0010000
Astilbe_philippinensis	0010000
Astilbe_platyphylla	0010000
Astilbe_rivularis	0010000
Astilbe_rubra	0010000
Astilbe_shikokiana	0010000
Astilbe_simplicifolia	0010000
Astilbe_thunbergii	0010000
Astilboides_tabularis	0010000
Bensoniella_oregona	0000100
Bergenia_ciliata	0010000
Bergenia_crassifolia	0110010
Bergenia_emeiensis	0010000
Bergenia_pacifica	0010000
Bergenia_pacumbis	0010000
Bergenia_purpurascens	0010000
Bergenia_stracheyi	0110000
Bergenia_tianquanensis	0010000
Bolandra_californica	0000100
Bolandra_oregana	0000100
Boykinia_aconitifolia	0000100
Boykinia_intermedia	0000100
Boykinia_lycoctonifolia	0010000
Boykinia_major	0000100
Boykinia_occidentalis	0000100
Boykinia_richardsonii	0000100
Boykinia_rotundifolia	0000100
Cascadia_nuttallii	0000100
Cercidiphyllum_japonicum	0010000
Cercidiphyllum_magnificum	0010000
Choristylis_rhamnoides	1000000
Chrysosplenium_absconditicapsulum	0010000
Chrysosplenium_album	0010000
Chrysosplenium_alpinum	0000010
Chrysosplenium_alternifolium	0100010
Chrysosplenium_americanum	0000100
Chrysosplenium_axillare	0010000
Chrysosplenium_biondianum	0010000
Chrysosplenium_carnosum	0010000
Chrysosplenium_cavaleriei	0010000
Chrysosplenium_chinense	0010000
Chrysosplenium_davidianum	0010000
Chrysosplenium_delavayi	0010000
Chrysosplenium_dubium	0100000
Chrysosplenium_echinus	0010000
Chrysosplenium_fauriae	0010000
Chrysosplenium_flagelliferum	0010000
Chrysosplenium_forrestii	0010000
Chrysosplenium_fuscopuncticulosum	0010000
Chrysosplenium_giraldianum	0010000
Chrysosplenium_glechomifolium	0000100
Chrysosplenium_glossophyllum	0010000
Chrysosplenium_grayanum	0010000
Chrysosplenium_griffithii	0010000
Chrysosplenium_hebetatum	0010000
Chrysosplenium_hydrocotylifolium	0010000
Chrysosplenium_iowense	0000100
Chrysosplenium_japonicum	0010000
Chrysosplenium_kamtschaticum	0010000
Chrysosplenium_kiotense	0010000
Chrysosplenium_lanuginosum	0010000
Chrysosplenium_macranthum	0000001
Chrysosplenium_macrophyllum	0010000
Chrysosplenium_macrostemon	0010000
Chrysosplenium_microspermum	0010000
Chrysosplenium_nepalense	0010000
Chrysosplenium_nudicaule	0110000
Chrysosplenium_oppositifolium	0000010
Chrysosplenium_oxygraphoides	0010000
Chrysosplenium_pilosum	0010010
Chrysosplenium_ramosum	0010000
Chrysosplenium_rhabdospermum	0010000
Chrysosplenium_rimosum	0010000
Chrysosplenium_rosendahlii	0000100
Chrysosplenium_schagae	0000010
Chrysosplenium_serreanum	0010000
Chrysosplenium_sikangense	0010000
Chrysosplenium_sinicum	0010000
Chrysosplenium_tetrandrum	0000110
Chrysosplenium_tosaense	0010000
Chrysosplenium_trichospermum	0010000
Chrysosplenium_uniflorum	0010000
Chrysosplenium_valdivicum	0000001
Chrysosplenium_wrightii	0000110
Chunia_bucklandioides	0010000
Conimitella_williamsii	0000100
Corylopsis_brevistyla	0010000
Corylopsis_glabrescens	0010000
Corylopsis_glandulifera	0010000
Corylopsis_glaucescens	0010000
Corylopsis_gotoana	0010000
Corylopsis_henryi	0010000
Corylopsis_himalayana	0010000
Corylopsis_microcarpa	0010000
Corylopsis_multiflora	0010000
Corylopsis_obovata	0010000
Corylopsis_omeiensis	0010000
Corylopsis_pauciflora	0010000
Corylopsis_platypetala	0010000
Corylopsis_rotundifolia	0010000
Corylopsis_sinensis	0010000
Corylopsis_spicata	0010000
Corylopsis_stelligera	0010000
Corylopsis_stenopetala	0010000
Corylopsis_trabeculosa	0010000
Corylopsis_veitchiana	0010000
Corylopsis_velutina	0010000
Corylopsis_willmottiae	0010000
Corylopsis_wilsonii	0010000
Corylopsis_yui	0010000
Corylopsis_yunnanensis	0010000
Cotyledon_adscendens	1000000
Cotyledon_barbeyi	1100000
Cotyledon_campanulata	1000000
Cotyledon_cuneata	1000000
Cotyledon_eliseae	1000000
Cotyledon_papillaris	1000000
Cotyledon_tomentosa	1000000
Cotyledon_velutina	1000000
Cotyledon_woodii	1000000
Crassula_acinaciformis	1000000
Crassula_alata	1110010
Crassula_alba	1100000
Crassula_alcicornis	1000000
Crassula_alpestris	1000000
Crassula_alticola	1000000
Crassula_ammophila	1000000
Crassula_ankaratrensis	1000000
Crassula_aphylla	1000000
Crassula_aquatica	0110110
Crassula_arborescens	1000000
Crassula_atropurpurea	1000000
Crassula_aurusbergensis	1000000
Crassula_ausensis	1000000
Crassula_badspoortensis	1000000
Crassula_barbata	1000000
Crassula_barklyi	1000000
Crassula_bergioides	1000000
Crassula_biplanata	1000000
Crassula_brachystachya	1000000
Crassula_brevifolia	1000000
Crassula_campestris	1000000
Crassula_capensis	1000000
Crassula_capitella	1000000
Crassula_chiloensis	0000001
Crassula_ciliata	1000000
Crassula_clavata	1000000
Crassula_closiana	0001101
Crassula_coccinea	1000000
